,co_per_rol,P_0,r_f,d,sigma,T,phi,n_s,n_o,K,wealth,rescale_factor,phi_opt,n_s_opt,n_o_opt,E_U,E_UPPS,E_cost_0,E_U_opt,E_UPPS_opt,E_cost_0_opt,distance,savings
0,79.0,100.0,0.0197,0.0040000002,0.41687366,3.3931058151688784,0.02557778,0.08495999900000001,0.0033495243100000005,109.75936456991873,0.081351146,180.8833,-0.08135114584452169,0.08961548687615101,-0.03180681858685984,-0.19070591700271966,0.001842089616465721,1558.4531721994254,-0.19070591850916754,0.001842089585581107,1444.4491866346737,0.0003421927739833468,0.07315201226345441
1,111.0,100.0,0.0197,0.0071999999,0.49831051,3.1398993079558397,0.011608231,0.0008299999799999999,0.0035144298900000003,73.57883870364412,0.036413588,643.2368799999999,-0.015609539185803838,0.0019311263388029035,-0.0008299999799999999,-7.8541272855911775,0.05375819042631858,162.0655034152287,-7.854128021836865,0.053758187766905274,90.27385509429656,6.83679688590537e-05,0.4429792078391565
2,836.0,100.0,0.0197,0.0136,0.55885351,2.3317273390537103,0.064815387,0.0012300001,0.002825841984,66.9760921658029,0.073071547,250.9585,0.0130970279997591,0.0029817270927703157,-0.0012300000999786547,-3.688473512707815,0.01933635882681783,79.66687315573743,-3.6884735127020694,0.019336358826609983,63.95519387990238,7.859694381899308e-05,0.19721722032595584
3,885.0,100.0,0.0197,0.0052,0.37462652,2.763262118331523,0.023048831000000002,0.062859997,0.004769215039999999,88.49431105711244,0.038777094,302.9527,-0.038777094,0.0647099842552435,-0.0026723794994798693,-0.21630895067701994,0.00214698538355465,1955.2736963376205,-0.21630895067674089,0.002146985383549926,1924.0428763803418,9.548936379059564e-05,0.015972607832743093
4,1017.0,100.0,0.0197,0.017999999,0.26832249999999996,3.033512638708362,0.09436442,0.0029899999,0.00266871223,70.06467145472081,0.077694446,98.63229399999999,-0.06745220779224514,0.006272114731767521,-0.002989999828441536,-1.9792219063864038,0.015368817461689265,47.55697506289075,-1.9792221221786175,0.015368825532368003,45.39735438878156,0.00011513726992489136,0.045411228768298374
5,1316.0,100.0,0.0197,0.0043000001000000005,0.25658616,3.643628509918592,0.046034899000000004,0.00202,0.00236041627,80.12152051815431,0.062949575,143.6062,-0.060022587301291876,0.004203595149436472,-0.00202,-2.9801048999016193,0.02415109256953645,46.20238404703493,-2.980105877588783,0.024151121080470572,42.68985414221786,7.233035891105598e-05,0.07602486272659106
6,1329.0,100.0,0.0197,0.037999999,0.44012299,2.8391901519828298,0.05737723,0.090970002,0.006733857822,30.479440457870712,0.13679455,138.47624,-0.1367945489594355,0.10128630949118186,-0.010048831654546111,-0.16640250148052033,0.0016085437566533784,1325.4107655552104,-0.16640249936657234,0.0016085437152710486,1297.4569830884273,0.0007316009740688463,0.02109065596360488
7,1455.0,100.0,0.0197,0.0099999998,0.3739737,2.421174231389465,0.041034535,0.027349999,0.00931404415,73.1972676110717,0.060685478,151.81859,-0.060685478,0.030169440604274077,0.0015646560274135378,-0.44082766282451274,0.004466789455781282,472.4261602386256,-0.44082766288067216,0.004466789440268823,457.37782829943995,0.0001279802690724465,0.03185329942690866
8,1623.0,100.0,0.0197,0.017000001,0.3017205,4.042249179546824,0.017371545,0.00030000001,0.0028177507800000003,41.910942139369226,0.033370052000000004,444.76592999999997,-0.0333700426240376,0.0019650485532220815,0.00035253513718390655,-6.480741118687673,0.06899904811913499,91.01235910447288,-6.480741632622297,0.06899902920653207,81.30754640261368,8.11625823887717e-05,0.10663181129849708
9,1689.0,100.0,0.0197,0.022000000000000002,0.25305477,5.0,0.033461053,0.00145,0.0,100.0,0.060050402,174.64700000000002,0.008737405292170675,0.0019333712888110121,-0.0014499999968038506,-4.220713056242905,0.022189685372107557,31.16768752329103,-4.220713086308764,0.022189684906418636,30.339032331499695,1.9930816483467158e-05,0.02658699626567089
10,1711.0,100.0,0.0197,0.0115,0.66640228,3.796359721476408,0.01303573,0.0012300001,0.0039305452500000004,118.17080612157434,0.028721347,308.38004,0.00671018055036336,0.0016770250938210336,-0.0012300000945586647,-9.83581877476665,0.04436651669407989,94.0152509481832,-9.835819385152542,0.04436651346360976,37.492641552934884,4.85178057212034e-05,0.6012068129925104
11,1725.0,100.0,0.0197,0.013000000000000001,0.41352275,2.365625373579553,0.047446630999999996,0.013069999999999998,0.00243542445,72.30764534418644,0.08155223,159.77213999999998,-0.08155222156959245,0.01694740894754027,-0.007518810981929681,-0.8912455974114442,0.00782145446694414,230.9749238000709,-0.8912456073574129,0.00782145454773228,212.75465048143806,0.00016891715401463585,0.07888420534518321
12,2414.0,100.0,0.0197,0.0046000001,0.53258914,2.5180334694776003,0.1205577,0.06064,0.01338962511,51.044505841486604,0.19900136,24.024744000000002,-0.19900136,0.07912934642761203,-0.0324436960313722,-0.26168107700241927,0.002341515849947003,166.75192291491393,-0.2616810784452299,0.0023415158717986135,141.29969501784862,0.0010344640847362568,0.15263528870999848
13,2472.0,100.0,0.0197,0.0024000001000000003,0.31394246,4.055776085500328,0.0016961491000000001,0.24409001,0.00665357461,59.01684640738035,0.017358251,1599.2456,-0.01735824975924138,0.24474810117778165,0.005311838712412724,-0.05604571771752106,0.0005642946086603005,39556.97185160946,-0.05604571777615398,0.000564294609202765,39527.2312964637,2.765383531557866e-05,0.0007518410473208867
14,2542.0,100.0,0.0197,0.0012000001,0.34012711,1.4975177719960435,0.0051243179,0.00055,0.0010528404299999998,135.62007673756972,0.010301012,846.8250699999999,-0.005859317533151557,0.0007260252451233635,-0.00055,-14.887694596146948,0.12544786354821744,57.28004900404961,-14.887694581130258,0.12544786314109446,53.194627464950024,1.279064987549435e-05,0.07132363903548249
