,co_per_rol,P_0,r_f,d,sigma,T,phi,n_s,n_o,K,wealth,rescale_factor,phi_opt,n_s_opt,n_o_opt,E_U,E_UPPS,E_cost_0,E_U_opt,E_UPPS_opt,E_cost_0_opt,distance,savings
0,79.0,100.0,0.0197,0.0040000002,0.41687366,3.3931058151688784,0.02557778,0.08495999900000001,0.0033495243100000005,109.75936456991873,0.081351146,180.8833,0.025577717618629977,0.08496002288256371,-0.08495999781754943,-0.013716455245683816,0.000700833158392463,1558.4531721994254,-0.013716455520129263,0.0007008329379356398,1109.1426393855934,0.0008166652860005254,0.2883054433902083
1,111.0,100.0,0.0197,0.0071999999,0.49831051,3.1398993079558397,0.011608231,0.0008299999799999999,0.0035144298900000003,73.57883870364412,0.036413588,643.2368799999999,0.01048240286425379,0.0009037797826600272,-0.0008299999794332943,-5421573.768631579,95352.93415741585,162.0655034152287,-5421573.771560602,95352.93421087266,40.974435162827696,6.075705872274362e-05,0.7471736162269713
2,836.0,100.0,0.0197,0.0136,0.55885351,2.3317273390537103,0.064815387,0.0012300001,0.002825841984,66.9760921658029,0.073071547,250.9585,0.05815735091074993,0.0015624239618624157,-0.0012300000998235981,-9466.935290986865,139.4186490242672,79.66687315573743,-9466.935291736449,139.41864903531751,39.644846451150364,6.462270457405629e-05,0.5023672339486662
3,885.0,100.0,0.0197,0.0052,0.37462652,2.763262118331523,0.023048831000000002,0.062859997,0.004769215039999999,88.49431105711244,0.038777094,302.9527,0.023027679567818416,0.06286338912929369,-0.06285999631889005,-0.004279416126149521,0.0002620529161115691,1955.2736963376205,-0.004279548833579957,0.000262050690187873,1332.4208012316085,0.000775656642843298,0.31855023482015016
4,1017.0,100.0,0.0197,0.017999999,0.26832249999999996,3.033512638708362,0.09436442,0.0029899999,0.00266871223,70.06467145472081,0.077694446,98.63229399999999,0.059945240565232434,0.003955414850540353,-0.0029899998992853477,-100.30648270185476,3.315773609073064,47.55697506289075,-100.30648270865646,3.315773609468577,35.11271435802494,9.165449496249032e-05,0.2616705685845064
5,1316.0,100.0,0.0197,0.0043000001000000005,0.25658616,3.643628509918592,0.046034899000000004,0.00202,0.00236041627,80.12152051815431,0.062949575,143.6062,0.029741441889823427,0.00249716604462665,-0.0020199999997080943,-2133.095818191221,68.80962477776899,46.20238404703493,-2133.0958178671594,68.80962476862031,31.07514534123773,5.812661725491223e-05,0.32741251383039843
6,1329.0,100.0,0.0197,0.037999999,0.44012299,2.8391901519828298,0.05737723,0.090970002,0.006733857822,30.479440457870712,0.13679455,138.47624,0.053503109132676044,0.09186185642435614,-0.090970002,-0.001782523321153784,8.693088445171762e-05,1325.4107655552104,-0.001782523234138785,8.693087713133856e-05,499.35327374710926,0.003580389791024879,0.6232464027573129
7,1455.0,100.0,0.0197,0.0099999998,0.3739737,2.421174231389465,0.041034535,0.027349999,0.00931404415,73.1972676110717,0.060685478,151.81859,0.03956748281286875,0.027478540652878893,-0.027349997857549154,-0.11778189885688876,0.006375012679804148,472.4261602386256,-0.11778191060055276,0.006375013452325068,273.5053764192135,0.0005137855868363959,0.4210621692053121
8,1623.0,100.0,0.0197,0.017000001,0.3017205,4.042249179546824,0.017371545,0.00030000001,0.0028177507800000003,41.910942139369226,0.033370052000000004,444.76592999999997,0.002918400639545803,0.0008911398657497554,-0.00030000001,-4344141.3533322,118083.12428026565,91.01235910447288,-4344141.35313445,118083.12427475795,33.48617427018048,8.483512692194512e-05,0.632070033128778
9,1689.0,100.0,0.0197,0.022000000000000002,0.25305477,5.0,0.033461053,0.00145,0.0,100.0,0.060050402,174.64700000000002,0.031139880402378462,0.0015213445876063577,-0.0014499999606383239,-13174.174472348912,342.3412079159886,31.16768752329103,-13174.174780356661,342.34121783167006,27.05563479707167,1.6545819536571207e-05,0.1319331991873475
