,co_per_rol,P_0,r_f,d,sigma,T,phi,n_s,n_o,K,wealth,rescale_factor,phi_opt,n_s_opt,n_o_opt,E_U,E_UPPS,E_cost_0,E_U_opt,E_UPPS_opt,E_cost_0_opt,distance,savings
0,79.0,100.0,0.0197,0.0040000002,0.41687366,3.3931058151688784,0.02557778,0.08495999900000001,0.0033495243100000005,109.75936456991873,0.081351146,180.8833,0.025577780019190463,0.08495999856771697,4.776458106344635e-10,-31.35696770517418,0.8116532425496897,1558.4531721994254,-31.356968093347653,0.8116532519338735,1541.4110865791515,3.0975593086391e-05,0.010935256781711679
1,111.0,100.0,0.0197,0.0071999999,0.49831051,3.1398993079558397,0.011608231,0.0008299999799999999,0.0035144298900000003,73.57883870364412,0.036413588,643.2368799999999,0.01157052589823198,0.0008356922677740963,1.3537090575318255e-11,-14725801.541544637,141459.6995995569,162.0655034152287,-14725801.522723693,141459.69951223096,61.197398064920755,4.8900765527741407e-05,0.6223909667677603
2,836.0,100.0,0.0197,0.0136,0.55885351,2.3317273390537103,0.064815387,0.0012300001,0.002825841984,66.9760921658029,0.073071547,250.9585,0.06426257071985343,0.0012867434626614605,0.0,-17114.290092777046,144.0200561507549,79.66687315573743,-17114.290066346104,144.0200559553781,48.419159281430964,4.37724190582786e-05,0.39222970146225794
3,885.0,100.0,0.0197,0.0052,0.37462652,2.763262118331523,0.023048831000000002,0.062859997,0.004769215039999999,88.49431105711244,0.038777094,302.9527,0.02304883098478284,0.0628599966251887,0.0,-33.62202226425355,1.22697409741148,1955.2736963376205,-33.62202302581148,1.2269741240579881,1911.3432755378649,5.4699129816064066e-05,0.022467658048098717
4,1017.0,100.0,0.0197,0.017999999,0.26832249999999996,3.033512638708362,0.09436442,0.0029899999,0.00266871223,70.06467145472081,0.077694446,98.63229399999999,0.0930148437288408,0.0030613402412319724,1.5399120226347508e-10,-357.3768303582213,7.464096669670976,47.55697506289075,-357.3768413888887,7.464096963882316,39.368968989144626,4.0503243866397184e-05,0.17217255855567057
5,1316.0,100.0,0.0197,0.0043000001000000005,0.25658616,3.643628509918592,0.046034899000000004,0.00202,0.00236041627,80.12152051815431,0.062949575,143.6062,0.0455015073827843,0.0020507527933285408,3.1938895972416192e-12,-8101.542158005184,164.19163292256553,46.20238404703493,-8101.542154346683,164.19163286868354,35.984380162767074,3.0028269406895146e-05,0.22115750290863195
6,1329.0,100.0,0.0197,0.037999999,0.44012299,2.8391901519828298,0.05737723,0.090970002,0.006733857822,30.479440457870712,0.13679455,138.47624,0.05737721206753671,0.09097001913003427,5.508240565055278e-11,-1.3118908495625723,0.03288000575534673,1325.4107655552104,-1.3118908518279009,0.03288000569385818,1267.6640012466848,0.0002466337031686244,0.04356895674099607
7,1455.0,100.0,0.0197,0.0099999998,0.3739737,2.421174231389465,0.041034535,0.027349999,0.00931404415,73.1972676110717,0.060685478,151.81859,0.041034493511931114,0.027350013850170107,2.683335573468679e-11,-40.84339013230911,1.3049453316960211,472.4261602386256,-40.843391096508086,1.3049453197245957,421.45385301452524,0.00013045400621663217,0.10789476010040154
8,1623.0,100.0,0.0197,0.017000001,0.3017205,4.042249179546824,0.017371545,0.00030000001,0.0028177507800000003,41.910942139369226,0.033370052000000004,444.76592999999997,0.014319173107662543,0.0005038603444436863,0.0,-10634289.494682394,140335.4939526256,91.01235910447288,-10634289.491763497,140335.494522954,28.77867181272216,7.309554572929158e-05,0.6837938045349733
9,1689.0,100.0,0.0197,0.022000000000000002,0.25305477,5.0,0.033461053,0.00145,0.0,100.0,0.060050402,174.64700000000002,0.033461053,0.00145,0.0,-40733.74391069764,661.4819205177704,31.16768752329103,-40733.74391069764,661.4819205177704,31.16768752329103,0.0,0.0
10,1711.0,100.0,0.0197,0.0115,0.66640228,3.796359721476408,0.01303573,0.0012300001,0.0039305452500000004,118.17080612157434,0.028721347,308.38004,0.01303570954935882,0.0012300086083513568,0.0,-58243947.130361125,354957.2444116423,94.0152509481832,-58244128.36679558,354956.85547605506,41.95096301663324,3.4797127564723195e-05,0.5537855550717549
11,1725.0,100.0,0.0197,0.013000000000000001,0.41352275,2.365625373579553,0.047446630999999996,0.013069999999999998,0.00243542445,72.30764534418644,0.08155223,159.77213999999998,0.04744624785730041,0.01307008959812161,2.7538155054444502e-11,-251.71253443365418,5.856178232164065,230.9749238000709,-251.71253435612658,5.8561782304352095,216.4042072282669,3.477358390504256e-05,0.06308354314867635
12,2414.0,100.0,0.0197,0.0046000001,0.53258914,2.5180334694776003,0.1205577,0.06064,0.01338962511,51.044505841486604,0.19900136,24.024744000000002,0.12055763691421052,0.06064004070327033,0.0,-0.9302814093126309,0.016282292399999173,166.75192291491393,-0.9302814373507505,0.01628229283920352,148.58251176867387,0.000266324946824714,0.10896072937948116
13,2472.0,100.0,0.0197,0.0024000001000000003,0.31394246,4.055776085500328,0.0016961491000000001,0.24409001,0.00665357461,59.01684640738035,0.017358251,1599.2456,0.0016961491826727934,0.24409001345876732,1.6842656968382877e-09,-2.879394753922731,0.14141209569021204,39556.97185160946,-2.8793945274465633,0.14141208471020567,39038.70069309861,0.00011385036395263423,0.013101891632530581
14,2542.0,100.0,0.0197,0.0012000001,0.34012711,1.4975177719960435,0.0051243179,0.00055,0.0010528404299999998,135.62007673756972,0.010301012,846.8250699999999,0.005123108392692135,0.0005500682689886844,0.0,-1061361972.4930432,30929881.43697199,57.28004900404961,-1061435183.6609744,30929235.64845302,50.919536662371314,7.778086306659808e-06,0.11104236906690876
15,2653.0,100.0,0.0197,0.0123,0.6525082,2.8738164747643484,0.037577465,0.0091000004,0.00663373751,79.82031181353894,0.052507404,249.0834,0.03757746132283768,0.009100003265980866,1.1803171272489747e-10,-68009.26388674063,689.3779703728965,314.4189438364432,-68009.26408278676,689.3779566101673,236.0258985746455,8.624076130622566e-05,0.24932672410023984
16,2666.0,100.0,0.0197,0.0024000001000000003,0.41077399,2.0596506755722124,0.035827644,0.0096100001,0.00461980221,47.761612424459116,0.081391916,91.289085,0.03579660200408697,0.009615606104318296,0.0,-506.70143316973315,12.418975551358896,114.3436758062719,-506.70143360286306,12.41897552579848,91.04782734142543,9.731062423527541e-05,0.20373534697551393
17,2669.0,100.0,0.0197,0.0093999999,0.32269752,1.8706654271227665,0.046923663,0.0011699999,0.0034838698100000003,107.46762661557472,0.17408955,117.90638999999999,0.042793242525191705,0.0012953507338861268,1.9086810691238163e-11,-485.5134979717206,6.931317691573961,25.525651198307017,-485.51349923879627,6.93131771850453,20.318609658158078,3.3522301246878546e-05,0.20399250540939365
18,2691.0,100.0,0.0197,0.0060000001,0.37314847,3.3138286583781875,0.023729436,0.00107,0.00042387883,98.38312454821406,0.046620212,307.15792999999996,0.023704715544010165,0.0010721086072706357,0.0,-613057.8335795829,7990.1631848757825,43.8413991525299,-613057.8943678997,7990.163616926393,40.211757412180155,4.401768156838426e-06,0.08279028065965133
